# Asendra sky orbits, format 1
# a_au|e|i_deg|node_deg|peri_deg|mean_anomaly_deg|epoch_jd|color|brightness
# Named minor planets too numerous to be catalogue objects. Osculating elements, not positions: the client works out where they are for whatever moment it is showing.
# 26316 orbits.
2.450047153042661|0.1625284898398051|3.197562550713191|54.62266159129301|261.3192297095741|193.4743205557293|2461200.5|#B9A78F|0.833
2.73003581771527|0.2182207811967379|3.191300989886099|107.0763458340524|197.2008956520598|264.9968417412214|2461200.5|#B9A78F|0.879
2.666115668912366|0.2128941428962123|11.89581175732707|318.4383614092772|57.91532273854845|27.87169554899994|2461200.5|#B9A78F|0.885
2.419192123784419|0.1328207882615142|2.242554209440512|291.0582934673843|292.6747995110621|3.501640779154536|2461200.5|#B9A78F|0.707
2.763630761904521|0.07089886155123082|11.45312128850703|332.8435805429094|252.0725921461613|279.9062959002488|2461200.5|#B9A78F|0.807
2.770531882788834|0.1877151599664548|25.28912648524657|144.9496604342665|252.4006562986237|200.180563251217|2461200.5|#B9A78F|0.952
2.174678312039117|0.06483264928606955|0.9402878633648374|159.6061673998659|250.7117360357736|306.8939042471466|2461200.5|#B9A78F|0.705
2.987576478265623|0.1244188340409517|2.200455781254973|205.9755105382103|155.0138557691212|102.8610236966658|2461200.5|#B9A78F|0.868
2.591405049326536|0.03614032532642043|6.431134763192145|38.72338371192669|131.9045569069154|271.2873055977777|2461200.5|#B9A78F|0.807
3.136344274999039|0.08281166584529963|12.1246869840799|39.86237303338741|59.25273256878273|331.1330291158661|2461200.5|#B9A78F|0.887
2.760642912399381|0.2727794641705923|11.35943254115822|40.5206526850583|46.89367661887337|286.8688051897724|2461200.5|#B9A78F|0.654
2.579619081407338|0.1978255975279526|12.16017811822044|62.02500892273543|46.06522557298645|88.29510801039659|2461200.5|#B9A78F|0.652
2.868732356988836|0.05371702297731352|1.005618864673534|277.6458942221435|147.68536466|20.32255826969589|2461200.5|#B9A78F|0.807
2.72812642584641|0.06542061172109946|3.818555954419989|8.53550062285783|50.15185813794455|214.9138569045673|2461200.5|#B9A78F|0.825
2.379118951233352|0.13806611006598|9.053552676786131|18.42088693006564|295.4846748656034|234.9791842911155|2461200.5|#B9A78F|0.809
3.013648615985076|0.1831716030003783|6.092721309224207|35.41913887370834|115.6926171571369|258.0080049472983|2461200.5|#B9A78F|0.826
2.366958465938368|0.1918608784872625|4.815115996598907|160.0017491900433|298.4772599466504|174.3635205562756|2461200.5|#B9A78F|0.769
2.632780374738609|0.346248761796944|24.47309767415978|76.77958491361835|284.0069754140225|330.5937636424125|2461200.5|#B9A78F|0.853
2.686818657166789|0.2101602299296579|12.02322341378547|128.8704016810998|264.1727145237805|321.5453968754002|2461200.5|#B9A78F|0.76
2.853218056384703|0.03698082873557289|2.21774477606063|166.0890938677764|126.9223095084228|59.86468461471897|2461200.5|#B9A78F|0.803
2.359660746073829|0.1302119559242313|5.501351078632164|354.6586181973414|335.2752827364041|149.048546960308|2461200.5|#B9A78F|0.788
2.554397521842141|0.06137405149116324|14.36228121497692|301.1801646529909|158.9262187795727|237.8198914478117|2461200.5|#B9A78F|0.807
2.379380017162703|0.1140114923014671|10.01618771882168|331.8897088459245|359.1697076745333|62.02845732530777|2461200.5|#B9A78F|0.857
2.858667098105092|0.1455435621579735|12.10472727726336|327.2630817717011|291.0048153386912|342.0197123597039|2461200.5|#B9A78F|0.884
3.187431848897086|0.2314459285632929|3.21725353999437|21.28015797666862|319.6178984198959|300.9593170913049|2461200.5|#B9A78F|0.866
3.181883620360189|0.1726083627013131|22.67315543784704|200.4009662178004|189.1771658573777|69.43398393062876|2461200.5|#B9A78F|0.882
2.771792619492741|0.2352296067858394|1.382160583691611|346.8715818270107|39.72529364959462|89.90996231364592|2461200.5|#B9A78F|0.782
2.460213290171772|0.04251994430490243|1.890673408834675|51.04530151171851|214.4782424897746|317.1100832288746|2461200.5|#B9A78F|0.792
2.972481378957661|0.1091482774996442|7.817623209997119|251.8202743689489|104.5176256363833|50.14774352652098|2461200.5|#B9A78F|0.895
2.72174515328481|0.1685523927292642|0.8679590326046414|311.8049314105658|175.6160298379908|12.59996613027066|2461200.5|#B9A78F|0.724
3.12288498067455|0.2083992490730906|18.90137706269748|142.9853295604601|319.025496637418|314.268495880367|2461200.5|#B9A78F|0.912
2.416302570168533|0.18638132289276|2.005586886577899|107.1630451403192|310.5816225864776|244.868416941321|2461200.5|#B9A78F|0.827
2.794660449566946|0.3480727569969284|26.39519219609129|141.8277286180428|264.1355683853901|334.80579753707|2461200.5|#B9A78F|0.794
3.190580968954296|0.05891129805024486|1.129889028526135|330.1455712556042|218.48031499|14.08252317754499|2461200.5|#B9A78F|0.886
2.362634946485087|0.1498941726562055|13.18544512722696|14.61210642225909|315.9931358820948|172.3825868569321|2461200.5|#B9A78F|0.828
2.761757176734319|0.1785362675188525|11.70242350368548|240.8093100853289|69.63164189413415|40.50200783728975|2461200.5|#B9A78F|0.807
2.449932439699511|0.03741431434730561|5.17370460399575|203.2661726281199|169.0157603212567|180.9674432410679|2461200.5|#B9A78F|0.803
2.896107071144717|0.08687806128451327|11.52231377730566|159.1644636348297|226.6821930112836|326.7569891210987|2461200.5|#B9A78F|0.826
2.403355374298034|0.2451732728181147|6.795704081989848|343.0703767802622|30.57689050436031|326.2748976479749|2461200.5|#B9A78F|0.982
2.598133139968438|0.2983283622178188|11.99719307551206|349.4658779612763|82.50054447832643|96.71027374613445|2461200.5|#B9A78F|0.769
2.878469280788345|0.03873965922666973|6.954773288216042|6.867509224464888|118.6757716782259|120.7640363775426|2461200.5|#B9A78F|0.815
